Recipe,Accuracy,Precision,Recall,F1,AUC,Num_Samples
1,0.7222,0.7222,1.0000,0.8387,0.4308,18
2,0.8125,0.8889,0.8000,0.8421,0.8000,16
3,0.6923,0.6667,1.0000,0.8000,0.3500,13
4,0.5294,0.4667,1.0000,0.6364,0.5143,17
5,0.5333,0.5000,0.8571,0.6316,0.3036,15
7,0.7500,0.7143,1.0000,0.8333,0.9000,16
8,0.6875,0.6667,1.0000,0.8000,0.3833,16
9,0.6429,0.5000,0.6000,0.5455,0.6222,14
10,0.7500,0.7273,1.0000,0.8421,0.4688,12
12,0.6111,0.5000,1.0000,0.6667,0.5065,18
13,0.7857,0.7500,1.0000,0.8571,0.8222,14
15,0.6667,0.6667,1.0000,0.8000,0.4800,15
16,0.6250,0.6250,1.0000,0.7692,0.2500,16
17,0.5000,0.4375,0.8750,0.5833,0.3438,20
18,0.9333,0.9167,1.0000,0.9565,0.8864,15
20,0.7143,0.7000,0.8750,0.7778,0.7708,14
21,0.7368,0.7333,0.9167,0.8148,0.6310,19
22,0.7647,0.7333,1.0000,0.8462,0.7424,17
23,0.5625,0.4615,1.0000,0.6316,0.5667,16
25,0.6667,0.6154,1.0000,0.7619,0.5000,15
26,0.7059,0.6923,0.9000,0.7826,0.8000,17
27,0.6000,0.6000,1.0000,0.7500,0.4815,15
28,0.7222,0.7500,0.8182,0.7826,0.6104,18
29,0.6667,0.6667,1.0000,0.8000,0.4861,18
