Recipe,Accuracy,Precision,Recall,F1,AUC,Num_Samples
1,0.7222,0.7222,1.0000,0.8387,0.5000,18
2,0.6250,0.6250,1.0000,0.7692,0.4000,16
3,0.6154,0.6154,1.0000,0.7619,0.5000,13
4,0.4118,0.4118,1.0000,0.5833,0.5071,17
5,0.4667,0.4667,1.0000,0.6364,0.3571,15
7,0.6250,0.6250,1.0000,0.7692,0.5500,16
8,0.6250,0.6250,1.0000,0.7692,0.6500,16
9,0.3571,0.3571,1.0000,0.5263,0.2444,14
10,0.6667,0.6667,1.0000,0.8000,0.4531,12
12,0.3889,0.3889,1.0000,0.5600,0.5000,18
13,0.6429,0.6429,1.0000,0.7826,0.5000,14
15,0.6667,0.6667,1.0000,0.8000,0.5000,15
16,0.6250,0.6250,1.0000,0.7692,0.5000,16
17,0.4000,0.4000,1.0000,0.5714,0.6146,20
18,0.7333,0.7333,1.0000,0.8462,0.6023,15
20,0.5714,0.5714,1.0000,0.7273,0.4896,14
21,0.6316,0.6316,1.0000,0.7742,0.5357,19
22,0.6471,0.6471,1.0000,0.7857,0.4848,17
23,0.3750,0.3750,1.0000,0.5455,0.7667,16
25,0.5333,0.5333,1.0000,0.6957,0.5000,15
26,0.5882,0.5882,1.0000,0.7407,0.7000,17
27,0.6000,0.6000,1.0000,0.7500,0.5000,15
28,0.6111,0.6111,1.0000,0.7586,0.4545,18
29,0.6667,0.6667,1.0000,0.8000,0.5972,18
